"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.24","-1.33","0.63","-0.14","0.22","-0.15","692.06"
"0.049987793","-10.12","-1.29","0.94","-0.11","0.19","-0.17","692.11"
"0.099975586","-9.61","0.35","-0.04","-0.22","0.20","-0.23","692.16"
"0.15997314","-10.43","-0.35","2.35","1.00","0.12","-0.31","692.22"
"0.21002197","-10.16","-2.47","-0.24","0.52","0.05","-0.26","692.27"
"0.26000977","-10.20","-3.02","1.02","0.60","-0.06","-0.12","692.32"
"0.30999756","-10.51","-3.53","-1.10","0.30","-0.11","0.05","692.37"
"0.35998535","-9.34","-1.18","0.24","0.15","-0.18","0.17","692.42"
"0.4199829","-10.00","-0.63","-0.12","-0.19","-0.31","0.04","692.48"
"0.47003174","-9.73","-1.53","0.71","-0.36","-0.40","-0.12","692.53"
"0.52001953","-10.51","1.73","1.49","-0.45","-0.67","-0.33","692.58"
"0.5700073","-13.06","1.80","4.00","-0.07","-0.95","-0.86","692.63"
"0.6199951","-20.01","8.00","7.69","0.04","-1.60","-1.96","692.68"
"0.6799927","-10.40","-7.49","6.43","-1.85","-3.47","-1.57","692.74"
"0.72998047","-14.87","-19.26","9.38","-5.74","-6.84","-2.11","692.79"
"0.7800293","-6.59","-6.39","-0.63","-3.22","-6.61","-4.34","692.84"
"0.8300171","-16.32","0.59","0.27","-1.19","-6.89","-3.97","692.89"
"0.89001465","-18.87","20.01","-13.34","3.18","-1.83","-0.94","692.95"
"0.94000244","-12.91","9.41","-15.89","3.80","4.81","7.93","693.00"
"0.98999023","-20.01","0.86","8.36","7.96","10.91","11.42","693.05"
"1.039978","-18.67","-20.01","20.01","4.92","10.52","0.37","693.10"
"1.0900269","-13.81","9.53","0.98","-10.69","-4.06","0.85","693.15"
"1.1500244","-19.93","-4.04","0.55","3.73","-1.33","0.38","693.21"
"1.2000122","-5.53","-10.32","1.33","1.44","0.43","-0.11","693.26"
"1.25","-12.24","5.73","3.33","-2.00","-0.37","0.22","693.31"
"1.2999878","-8.28","0.86","4.04","1.36","-0.05","-0.27","693.36"
"1.3499756","-8.04","-1.33","5.22","-0.64","-0.00","0.20","693.41"
"1.4099731","-10.83","2.98","5.30","-0.57","-0.27","0.24","693.47"
"1.460022","-9.14","-0.35","2.82","0.47","0.13","0.09","693.52"
"1.5100098","-9.57","-2.82","3.33","0.16","0.03","0.22","693.57"
"1.5599976","-8.16","-1.22","2.67","-0.53","0.23","-0.01","693.62"
"1.6099854","-9.85","-1.57","3.96","0.46","0.00","-0.81","693.67"
"1.6699829","-9.26","-6.51","2.94","0.24","-0.00","-1.40","693.73"
"1.7200317","-10.20","-5.57","3.26","-0.66","-0.12","-2.11","693.78"
"1.7700195","-8.94","-3.10","2.98","-0.40","-0.08","-2.79","693.83"
"1.8200073","-6.98","-4.82","3.73","0.32","0.07","-2.99","693.88"
"1.8699951","-5.06","-3.92","2.39","0.52","0.28","-2.26","693.93"
"1.9199829","-6.24","-1.57","1.92","0.73","0.61","-1.15","693.98"
"1.9799805","-10.12","-1.88","1.26","1.03","1.07","0.53","694.04"
