"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-9.73","-4.08","2.43","-0.15","0.81","0.85","1295.68"
"0.049926758","-8.32","-4.31","2.90","-0.49","0.96","0.83","1295.73"
"0.099975586","-13.06","0.12","0.82","-1.22","0.95","0.78","1295.78"
"0.14990234","-9.22","-1.45","0.59","-0.33","0.42","0.64","1295.83"
"0.20996094","-10.28","-2.82","-0.08","-0.28","0.41","0.49","1295.89"
"0.2598877","-9.92","-0.04","-0.63","-0.47","0.22","0.37","1295.94"
"0.30993652","-10.24","-0.98","-0.35","-0.04","0.15","0.21","1295.99"
"0.35998535","-10.32","-2.94","0.24","-0.50","0.07","0.18","1296.04"
"0.4099121","-9.96","-0.47","-0.04","-0.40","0.05","0.17","1296.09"
"0.4699707","-10.04","-3.14","0.00","-0.12","0.00","0.23","1296.15"
"0.51989746","-10.32","-0.75","0.35","-0.47","-0.01","0.21","1296.20"
"0.5699463","-10.24","-2.28","0.04","-0.26","-0.06","0.20","1296.25"
"0.6199951","-10.32","0.00","0.59","-0.44","-0.05","0.11","1296.30"
"0.6699219","-10.16","-1.45","0.67","0.01","-0.10","0.13","1296.35"
"0.72998047","-10.16","-0.59","-0.63","-0.01","-0.16","0.08","1296.41"
"0.7799072","-10.28","-0.51","-0.27","0.17","-0.22","-0.02","1296.46"
"0.82995605","-10.16","-1.96","0.63","0.31","-0.27","0.02","1296.51"
"0.8800049","-10.20","2.59","-1.80","0.43","-0.43","-0.06","1296.56"
"0.92993164","-10.98","7.37","-0.67","1.68","-0.81","-0.42","1296.61"
"0.97998047","-15.02","6.28","6.28","2.43","-1.08","-1.30","1296.66"
"1.039917","-17.42","2.71","1.96","1.05","-1.37","-1.60","1296.72"
"1.0899658","-12.20","-10.98","4.86","-0.06","-0.79","-1.12","1296.77"
"1.1398926","-8.32","-5.14","4.47","1.40","0.07","-1.52","1296.82"
"1.1899414","-6.71","-2.63","5.30","3.16","0.87","-1.62","1296.87"
"1.25","-2.59","-4.47","6.67","4.08","0.95","-1.56","1296.93"
"1.2999268","-3.61","-8.94","5.02","1.72","0.95","-1.87","1296.98"
"1.3499756","-5.10","-2.31","3.26","-0.91","1.00","-1.74","1297.03"
"1.3999023","-3.18","-5.06","1.41","-0.81","0.54","-0.36","1297.08"
"1.4499512","-4.82","-5.69","2.00","-1.71","0.14","1.76","1297.13"
"1.5098877","-4.12","-3.77","3.41","-3.39","-0.61","3.54","1297.19"
"1.5599365","-6.00","-6.24","5.37","-4.31","-1.28","4.82","1297.24"
"1.6099854","-9.92","-0.39","10.16","-5.48","-1.67","4.79","1297.29"
"1.6599121","-15.02","12.12","8.75","-6.20","-1.11","3.06","1297.34"
"1.7099609","-12.28","11.06","7.57","-1.78","1.08","1.30","1297.39"
"1.7598877","-9.89","4.24","7.18","6.55","3.54","-0.67","1297.44"
"1.8199463","-5.88","-3.02","7.02","8.48","3.13","-3.36","1297.50"
"1.8699951","-6.04","-12.24","9.26","5.13","0.91","-2.62","1297.55"
"1.9199219","-4.94","-8.75","2.79","-0.47","-1.03","-0.81","1297.60"
"1.9699707","-7.22","-5.61","3.37","-4.11","-2.75","0.83","1297.65"
"2.0299072","-5.22","-0.31","5.61","-4.50","-3.69","1.54","1297.71"
"2.079956","-6.04","0.16","7.96","-3.12","-4.82","1.03","1297.76"
"2.130005","-6.35","0.47","9.38","-1.37","-5.16","0.88","1297.81"
"2.1799316","-6.94","-1.80","9.96","-0.79","-4.75","0.96","1297.86"
"2.2299805","-8.83","-2.86","9.41","-1.30","-4.23","1.18","1297.91"
"2.289917","-8.47","-3.37","8.90","-2.63","-2.83","1.84","1297.97"
"2.3399658","-11.38","1.53","7.57","-2.93","-1.86","2.33","1298.02"
"2.3898926","-13.45","0.90","6.20","-0.88","-0.33","2.96","1298.07"
"2.4399414","-11.73","-0.86","7.85","1.22","1.44","3.62","1298.12"
"2.4899902","-12.28","-12.12","6.04","1.37","3.54","5.09","1298.17"
"2.5499268","-7.10","-14.04","7.37","-2.53","5.05","5.67","1298.23"
"2.5999756","-16.51","4.75","0.67","-3.07","4.00","7.60","1298.28"
"2.6499023","-14.47","19.89","10.08","3.61","3.68","4.24","1298.33"
"2.6999512","-16.00","-3.61","4.12","8.74","4.58","2.41","1298.38"
"2.75","-7.18","10.67","7.53","-0.37","2.64","0.93","1298.43"
"2.7999268","-10.98","10.71","2.43","-0.55","0.56","-1.13","1298.48"
"2.8599854","-7.88","-1.14","3.33","1.75","0.05","-2.14","1298.54"
"2.909912","-8.16","-1.18","3.18","-0.06","0.10","-1.13","1298.59"
"2.959961","-11.10","11.92","2.55","-0.70","1.33","-1.07","1298.64"
"3.0098877","-6.35","9.34","3.53","5.32","2.58","-1.40","1298.69"
"3.0699463","-9.22","19.93","-0.63","2.11","1.67","-2.17","1298.75"
"3.119995","-5.22","-17.53","6.20","6.07","0.93","-0.74","1298.80"
"3.1699219","-2.39","-9.41","-1.37","2.70","0.08","0.21","1298.85"
"3.2199707","-4.39","-4.47","-2.31","0.76","-0.44","1.13","1298.90"
