"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-0.12","0.00","9.81","0.03","0.03","0.01","139.56"
"0.5","-0.04","0.04","9.81","0.03","0.04","0.01","140.06"
"1.0","-0.12","0.00","9.85","0.03","0.03","0.01","140.56"
"1.5","-0.08","0.00","9.81","0.03","0.03","0.01","141.06"
"2.0","1.73","-0.71","7.85","0.46","-1.27","-0.04","141.56"
"2.5100098","0.90","-0.51","12.20","-0.23","-1.53","0.04","142.07"
"3.0100098","1.33","-0.78","10.28","0.13","3.17","-0.14","142.57"
"3.5100098","-0.12","0.00","9.92","0.03","0.03","0.01","143.07"
"4.01001","-0.08","0.08","9.77","0.03","0.03","0.01","143.57"
"4.51001","-0.12","0.04","9.85","0.03","0.03","0.01","144.07"
"5.0200043","-0.08","0.08","9.85","0.03","0.03","0.01","144.58"
"5.5200043","-0.04","0.04","9.77","0.03","0.04","0.01","145.08"
"6.0200043","-0.08","0.00","9.73","0.03","0.03","0.01","145.58"
"6.5200043","-0.08","0.04","9.81","0.02","0.04","0.01","146.08"
"7.0200043","-0.04","-0.08","9.89","0.03","0.03","0.01","146.58"
"7.529999","-0.12","-0.04","9.81","0.03","0.03","0.01","147.09"
"8.029999","-0.16","0.04","9.73","0.02","0.03","0.01","147.59"
"8.529999","-0.04","0.04","9.85","0.03","0.03","-0.00","148.09"
"9.029999","-0.08","0.04","9.81","0.03","0.03","0.01","148.59"
"9.529999","-0.12","0.00","9.85","0.03","0.03","0.00","149.09"
