"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z","FSR"
"0.0","-10.20","-0.51","0.90","-0.14","0.25","0.01","1732.11"
"0.050048828","-10.28","-0.63","0.59","-0.10","0.22","0.01","1732.16"
"0.10998535","-10.32","-0.59","0.86","-0.06","0.19","0.01","1732.22"
"0.16003418","-10.28","-1.06","0.59","-0.12","0.17","0.03","1732.27"
"0.20996094","-10.20","-0.98","0.67","-0.13","0.14","0.04","1732.32"
"0.26000977","-10.24","-0.75","0.24","-0.31","0.12","0.06","1732.37"
"0.32006836","-10.36","0.51","0.51","-0.02","0.06","-0.01","1732.43"
"0.36999512","-10.16","-1.45","0.63","0.02","0.03","-0.03","1732.48"
"0.42004395","-10.24","-0.71","0.82","-0.05","0.01","0.00","1732.53"
"0.4699707","-10.43","-1.26","0.82","-0.07","0.00","0.30","1732.58"
"0.52001953","-10.51","-0.90","0.98","-0.20","0.03","0.01","1732.63"
"0.57995605","-10.20","0.08","1.06","-0.05","0.05","0.03","1732.69"
"0.6300049","-10.28","-0.04","0.75","0.05","0.03","0.03","1732.74"
"0.6800537","-10.28","-0.24","0.27","0.30","0.00","0.02","1732.79"
"0.72998047","-10.12","-0.78","0.20","0.19","-0.08","-0.01","1732.84"
"0.7800293","-10.16","-1.10","0.75","0.17","-0.15","0.01","1732.89"
"0.82995605","-10.28","-1.29","0.94","0.11","-0.18","0.08","1732.94"
"0.89001465","-10.12","-1.61","1.06","0.06","-0.21","0.14","1733.00"
"0.9400635","-9.96","0.43","-1.37","-0.11","-0.32","0.17","1733.05"
"0.98999023","-9.89","5.10","-6.24","-0.38","-0.82","-0.17","1733.10"
"1.0400391","-12.24","4.98","-3.88","-0.02","-1.99","-1.68","1733.15"
"1.0999756","-16.67","-0.12","1.73","0.61","-2.21","-2.33","1733.21"
"1.1500244","-16.71","-5.41","-4.47","-1.15","-0.74","-1.62","1733.26"
"1.2000732","-13.14","5.69","0.86","1.26","0.78","-0.35","1733.31"
"1.25","-13.06","-7.41","3.18","0.80","1.90","0.66","1733.36"
"1.3000488","-8.98","-0.16","5.65","-1.26","2.33","1.75","1733.41"
"1.3599854","-5.10","-7.14","9.06","-0.68","1.83","2.77","1733.47"
"1.4100342","1.69","-9.38","11.92","-2.10","0.56","1.47","1733.52"
"1.4599609","9.73","-12.75","-9.06","0.27","-1.58","-0.93","1733.57"
"1.5100098","10.83","-11.22","4.28","-0.16","-1.72","0.22","1733.62"
"1.5600586","-11.85","-17.10","15.85","0.12","-0.85","-0.78","1733.67"
"1.6099854","-18.59","-16.04","13.61","1.20","0.32","0.90","1733.72"
"1.670044","-20.01","20.01","0.75","-0.01","0.73","3.38","1733.78"
"1.7199707","8.83","-5.37","-8.00","0.33","-1.49","1.27","1733.83"
"1.7700195","-18.16","-8.51","11.41","-2.54","-7.28","-6.55","1733.88"
"1.8200684","-20.01","9.10","-4.43","-1.29","-6.59","-5.00","1733.93"
"1.8699951","-20.01","19.93","-16.40","0.51","-4.39","-1.97","1733.98"
"1.9300537","-20.01","2.98","3.65","4.27","1.30","1.62","1734.04"
"1.9799805","-20.01","-20.01","20.01","7.18","13.83","2.84","1734.09"
"2.0300293","-20.01","19.77","20.01","-7.19","20.08","12.71","1734.14"
"2.079956","9.10","-20.01","17.10","18.32","13.66","-6.26","1734.19"
"2.1400146","-10.00","-1.77","19.97","-10.01","6.80","1.54","1734.25"
"2.1900635","-7.92","-20.01","20.01","-1.93","3.26","-5.17","1734.30"
"2.2399902","10.83","-1.80","20.01","-5.04","4.35","-0.17","1734.35"
"2.290039","1.65","-12.36","20.01","1.18","-0.16","-4.64","1734.40"
"2.3399658","-10.16","-8.79","16.87","-3.54","-2.90","-5.28","1734.45"
"2.4000244","-15.34","2.16","10.20","-1.48","-3.13","-5.51","1734.51"
"2.4500732","-14.79","-3.84","11.65","0.01","-3.57","-4.02","1734.56"
"2.5","4.98","-10.00","-15.02","-1.91","-0.79","7.44","1734.61"
"2.5500488","1.61","-8.00","-15.42","9.75","-1.70","-4.42","1734.66"
"2.5999756","-9.26","-6.51","-3.10","-1.00","-0.81","-1.52","1734.71"
"2.6600342","-1.69","5.65","4.67","-5.76","-0.27","0.92","1734.77"
"2.709961","-10.32","-4.75","3.92","1.59","-0.92","-0.10","1734.82"
"2.7600098","-11.06","-0.24","1.41","-0.80","0.08","0.29","1734.87"
"2.8100586","-9.30","3.61","-1.18","-0.65","0.05","0.41","1734.92"
